hour,day,month,humidity,pressure_mb,cloud,temp_c
8,1,3,73,1014.0,80,27.3
9,1,3,70,1014.0,74,28.3
10,1,3,67,1014.0,81,29.0
11,1,3,65,1013.0,88,29.4
12,1,3,65,1012.0,88,29.4
13,1,3,66,1011.0,86,29.3
14,1,3,67,1010.0,86,29.0
15,1,3,68,1009.0,73,28.9
16,1,3,69,1009.0,4,28.6
17,1,3,72,1010.0,4,27.9
18,1,3,77,1010.0,5,27.0
19,1,3,78,1011.0,5,26.7
20,1,3,79,1012.0,3,26.7
21,1,3,80,1013.0,4,26.6
22,1,3,80,1013.0,4,26.4
23,1,3,81,1013.0,4,26.3
0,2,3,79,1012.0,26,26.1
1,2,3,80,1011.0,25,25.9
2,2,3,79,1010.0,26,25.8
3,2,3,79,1010.0,24,25.7
4,2,3,79,1010.0,21,25.6
5,2,3,80,1010.0,20,25.4
6,2,3,80,1011.0,19,25.3
7,2,3,77,1012.0,17,26.2
8,2,3,72,1012.0,19,27.2
9,2,3,68,1013.0,10,28.2
10,2,3,64,1013.0,0,28.9
11,2,3,63,1012.0,0,29.4
12,2,3,63,1010.0,0,29.5
13,2,3,63,1009.0,0,29.5
14,2,3,63,1008.0,0,29.4
15,2,3,64,1007.0,0,29.1
16,2,3,65,1007.0,0,28.7
17,2,3,69,1008.0,0,28.0
18,2,3,75,1009.0,0,27.0
19,2,3,77,1009.0,0,26.7
20,2,3,77,1010.0,0,26.6
21,2,3,78,1011.0,0,26.4
22,2,3,79,1011.0,0,26.2
23,2,3,79,1011.0,0,26.1
0,3,3,79,1010.0,4,25.8
1,3,3,80,1009.0,19,25.6
2,3,3,81,1009.0,29,25.3
3,3,3,83,1009.0,34,25.0
4,3,3,85,1009.0,38,24.7
5,3,3,86,1009.0,39,24.5
6,3,3,88,1010.0,42,24.3
7,3,3,85,1011.0,39,25.1
8,3,3,79,1012.0,34,26.4
9,3,3,71,1013.0,10,27.8
10,3,3,65,1013.0,0,28.9
11,3,3,62,1012.0,0,29.6
12,3,3,60,1010.0,7,29.9
13,3,3,60,1009.0,18,29.9
14,3,3,63,1008.0,13,29.6
15,3,3,66,1007.0,6,29.0
16,3,3,68,1007.0,0,28.4
17,3,3,70,1008.0,0,27.9
18,3,3,73,1008.0,0,27.2
19,3,3,75,1009.0,0,27.1
20,3,3,76,1010.0,0,26.9
21,3,3,77,1011.0,0,26.7
22,3,3,77,1011.0,0,26.4
23,3,3,78,1011.0,0,26.2
0,4,3,70,1010.0,0,26.1
1,4,3,71,1009.0,0,25.9
2,4,3,73,1008.0,4,25.5
3,4,3,76,1008.0,0,24.7
4,4,3,79,1008.0,0,24.0
5,4,3,81,1009.0,0,23.5
6,4,3,82,1009.0,0,23.2
7,4,3,78,1010.0,0,24.1
8,4,3,71,1012.0,0,25.6
9,4,3,65,1012.0,0,26.9
10,4,3,60,1012.0,1,27.9
11,4,3,57,1011.0,7,28.9
12,4,3,57,1010.0,4,29.3
13,4,3,57,1009.0,0,29.4
14,4,3,57,1008.0,0,29.4
15,4,3,56,1008.0,0,29.4
16,4,3,59,1008.0,0,28.9
17,4,3,64,1008.0,0,28.0
18,4,3,70,1009.0,0,27.0
19,4,3,72,1010.0,0,26.8
20,4,3,73,1010.0,0,26.7
21,4,3,74,1011.0,0,26.6
22,4,3,74,1011.0,0,26.5
23,4,3,75,1011.0,0,26.3
